,name,address,EVC_rapid,EVC_regular,category,lonlat
4270,日産東京販売青梅新町店,東京都青梅市新町９丁目２２０３－２,2,0,自動車ディーラー,"[139.321823, 35.782368]"
4271,日産東京販売青梅店,東京都青梅市野上町３－２３－５,1,0,自動車ディーラー,"[139.292114, 35.788471]"
4272,ベイシア青梅インター店,東京都青梅市新町６－１６－１５,2,0,小売店舗,"[139.316986, 35.793468]"
4273,トヨタＳ＆Ｄ西東京　東青梅店,東京都青梅市東青梅５－１６－２,0,1,自動車ディーラー,"[139.279861, 35.789101]"
4274,トヨタＳ＆Ｄ西東京　青梅藤橋店,東京都青梅市今井３－１－８,0,1,自動車ディーラー,"[139.309189, 35.794823]"
4275,トヨタＳ＆Ｄ西東京　青梅新町店,東京都青梅市新町１－１８－１５,0,1,自動車ディーラー,"[139.294815, 35.787766]"
4276,モビリティ東京　青梅新町店,東京都青梅市新町４－３０－８,0,1,自動車ディーラー,"[139.308777, 35.785576]"
4277,モビリティ東京　青梅東店,東京都青梅市東青梅５－１２－１,0,1,自動車ディーラー,"[139.281281, 35.788551]"
4278,モビリティ東京　レクサス府中,東京都府中市若松町１丁目７－１０,1,0,自動車ディーラー,"[139.497772, 35.669617]"
4279,日産東京販売府中西原店,東京都府中市西原町１丁目５－１,1,0,自動車ディーラー,"[139.460114, 35.681889]"
4280,日産東京販売府中店,東京都府中市若松町２－３－２２,1,0,自動車ディーラー,"[139.498352, 35.670654]"
4281,日産東京販売府中白糸台店,東京都府中市白糸台３－３１－３,1,0,自動車ディーラー,"[139.515823, 35.66824]"
4282,メルセデス・ベンツ府中,東京都府中市緑町２－１２－７,1,0,自動車ディーラー,"[139.488861, 35.671635]"
4283,トヨタＳ＆Ｄ西東京　府中武蔵台店,東京都府中市武蔵台１－１８－５,0,1,自動車ディーラー,"[139.461502, 35.686619]"
4284,トヨタＳ＆Ｄ西東京　府中店,東京都府中市若松町１ー３－１４,0,1,自動車ディーラー,"[139.496063, 35.669758]"
