,address,pop,hh,lon,lat
814,東京都足立区千住元町,3762.0,1838.0,139.7923001,35.7547144
815,東京都足立区千住柳町,1759.0,985.0,139.796133,35.754549
816,東京都足立区千住中居町,2987.0,1744.0,139.7976029,35.7489852
817,東京都足立区千住仲町,4343.0,2726.0,139.8000276,35.7455283
818,東京都足立区千住,9965.0,5737.0,139.8045026,35.7496649
819,東京都足立区竹の塚,19193.0,10683.0,139.7908431,35.7944805
820,東京都足立区辰沼,4110.0,1983.0,139.8348856,35.7858871
821,東京都足立区中央本町,14533.0,7077.0,139.80708161804208,35.7725238
822,東京都足立区椿,2004.0,830.0,139.75931990225303,35.779143950000005
823,東京都足立区東和,20505.0,10167.0,139.80215698929388,35.74722905
824,東京都足立区舎人,15642.0,7264.0,139.7701164,35.8056634
825,東京都足立区中川,13442.0,6917.0,139.8495696,35.7797627
826,東京都足立区西綾瀬,9005.0,4838.0,139.8165787,35.7624847
827,東京都足立区西伊興町,,,139.7725618,35.793476
828,東京都足立区西新井本町,14657.0,7382.0,139.7794361152188,35.77410435
829,東京都足立区西加平,1170.0,589.0,139.8210070082826,35.77918195
830,東京都足立区西伊興,8866.0,3796.0,139.78922155292292,35.800888549999996
831,東京都足立区西新井栄町,10109.0,5041.0,139.7879780505055,35.77513045
832,東京都足立区西新井,22381.0,10809.0,139.790321,35.777253
833,東京都足立区西竹の塚,3060.0,1722.0,139.7908431,35.7944805
834,東京都足立区西保木間,10585.0,5348.0,139.8023471,35.7947597
835,東京都足立区花畑,18294.0,8591.0,139.8074305,35.804423
836,東京都足立区東綾瀬,10585.0,5376.0,139.8248669,35.7621283
837,東京都足立区東伊興,7015.0,3288.0,139.8031853,35.7503676
838,東京都足立区一ツ家,7221.0,3300.0,139.8137144805512,35.7817608
839,東京都足立区日ノ出町,4116.0,2415.0,139.8097372,35.7519282
840,東京都足立区東保木間,6061.0,2872.0,139.8100871,35.7949355
841,東京都足立区平野,4998.0,2210.0,139.80593117826163,35.7824602
842,東京都足立区東六月町,2058.0,837.0,139.8074664,35.7879459
843,東京都足立区保木間,16025.0,7034.0,139.8023471,35.7947597
844,東京都足立区保塚町,3412.0,1619.0,139.8134708,35.7864615
845,東京都足立区堀之内,1319.0,658.0,139.75498797225248,35.7741271
846,東京都足立区南花畑,15948.0,7600.0,139.8171803,35.7953862
847,東京都足立区宮城,4184.0,2060.0,139.7559037,35.7620373
848,東京都足立区六木,9107.0,3954.0,,
849,東京都足立区本木北町,1393.0,575.0,139.7784197,35.7649529
850,東京都足立区本木,3825.0,1766.0,139.7856021,35.762422
851,東京都足立区本木西町,1027.0,507.0,139.7797501,35.7611397
852,東京都足立区本木東町,1509.0,747.0,139.7823357,35.7659105
853,東京都足立区本木南町,1613.0,827.0,139.7825583,35.7620735
854,東京都足立区谷中,11014.0,5973.0,139.8283744,35.777846
855,東京都足立区谷在家,6084.0,3052.0,139.7689150072486,35.786641
856,東京都足立区柳原,5244.0,2959.0,139.80215698929388,35.74722905
857,東京都足立区六月,7682.0,3587.0,139.79540317176037,35.7863044
858,東京都足立区六町,4986.0,2673.0,139.8218681,35.7848565
859,東京都足立区古千谷本町,7629.0,3153.0,,
860,東京都足立区伊興本町,2789.0,1341.0,139.7872496,35.7991847
861,東京都足立区舎人公園,,,139.77330868728035,35.79865685
862,東京都葛飾区立石,22433.0,11258.0,139.8783345,35.7712929
863,東京都葛飾区東立石,11068.0,5274.0,,
864,東京都葛飾区四つ木,12798.0,6104.0,139.8348561,35.7317433
865,東京都葛飾区東四つ木,13609.0,6549.0,139.8348561,35.7317433
866,東京都葛飾区宝町,7160.0,3450.0,139.836518,35.741857
867,東京都葛飾区堀切,27681.0,13931.0,139.8274834,35.7476751
868,東京都葛飾区東堀切,8080.0,3712.0,139.8274834,35.7476751
869,東京都葛飾区小菅,14493.0,6643.0,139.8126428,35.7586732
870,東京都葛飾区お花茶屋,6320.0,3166.0,,
871,東京都葛飾区白鳥,11869.0,5434.0,139.8661458,35.7498005
872,東京都葛飾区亀有,26303.0,13172.0,139.8478007,35.7666652
873,東京都葛飾区西亀有,14610.0,6980.0,139.8478007,35.7666652
874,東京都葛飾区青戸,27615.0,13259.0,139.8536007,35.7471759
875,東京都葛飾区新小岩,15022.0,8642.0,139.8580706,35.7169836
876,東京都葛飾区東新小岩,25859.0,12234.0,139.8580706,35.7169836
877,東京都葛飾区西新小岩,16124.0,7857.0,139.8580706,35.7169836
878,東京都葛飾区奥戸,20538.0,9031.0,,
879,東京都葛飾区高砂,19884.0,10314.0,139.8671221,35.7509396
880,東京都葛飾区鎌倉,12860.0,6048.0,139.8801651,35.7470834
881,東京都葛飾区細田,11073.0,4874.0,139.8653235913992,35.7421374
882,東京都葛飾区柴又,22512.0,10522.0,139.8751807,35.7564295
883,東京都葛飾区新宿,15351.0,6814.0,139.863964,35.759725
884,東京都葛飾区金町,17591.0,9212.0,139.8706926,35.7695843
885,東京都葛飾区金町浄水場,,,139.877996,35.762653
886,東京都葛飾区東金町,24166.0,11685.0,139.8706926,35.7695843
887,東京都葛飾区水元,13229.0,5342.0,,
888,東京都葛飾区水元公園,,,139.8694186452554,35.78784455
889,東京都葛飾区東水元,9197.0,3832.0,,
890,東京都葛飾区南水元,13458.0,5841.0,139.8595646,35.780159
891,東京都葛飾区西水元,12190.0,4768.0,139.84720819850043,35.7859841
892,東京都江戸川区小松川,14115.0,6007.0,139.864297,35.6838309
893,東京都江戸川区小松川,1642.0,765.0,139.864297,35.6838309
894,東京都江戸川区平井,40185.0,21035.0,139.8425004,35.706421
895,東京都江戸川区中央,14206.0,6573.0,,
896,東京都江戸川区松島,18140.0,9101.0,,
897,東京都江戸川区松江,21368.0,9382.0,139.870773,35.6963531
898,東京都江戸川区東小松川,11992.0,5544.0,139.8679918,35.7032131
899,東京都江戸川区西小松川町,3158.0,1423.0,139.8620204,35.6984235
900,東京都江戸川区大杉,10953.0,4417.0,139.8737267,35.662654
901,東京都江戸川区西一之江,9679.0,3998.0,139.8782766,35.7028058
902,東京都江戸川区一之江町,827.0,329.0,139.8734063,35.6836213
903,東京都江戸川区一之江,20728.0,9728.0,139.8831198,35.6860437
904,東京都江戸川区二之江町,741.0,304.0,139.873167,35.681814
905,東京都江戸川区春江町,16429.0,7103.0,,
906,東京都江戸川区瑞江,10976.0,5289.0,139.8976392,35.6932479
907,東京都江戸川区東瑞江,8048.0,3941.0,139.8976392,35.6932479
908,東京都江戸川区西瑞江,15077.0,7146.0,,
909,東京都江戸川区江戸川,23941.0,10578.0,139.8958777,35.7377552
910,東京都江戸川区東小岩,18746.0,9232.0,139.881843,35.7332364
911,東京都江戸川区西小岩,19877.0,10856.0,139.881843,35.7332364
912,東京都江戸川区南小岩,29149.0,15028.0,139.881843,35.7332364
